name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
birmingham,2025/3/1,10,-3.7,3.4,10,-5.9,2.9,-0.6,78.9,0,0,0,,0,0,6,4,90.5,1034.1,8.1,8.5,102.6,9,4,10,2025-03-01T06:53:39,2025-03-01T17:47:10,0.05,Clear,Clear conditions throughout the day.,clear-day,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999"
birmingham,2025/3/2,10.3,-2.9,3.8,10.3,-2.9,3.3,-1.1,73.5,0,0,0,,0,0,12.3,6.6,204,1033.7,1.6,8.8,125.8,10.8,5,10,2025-03-02T06:51:24,2025-03-02T17:49:00,0.09,Clear,Clear conditions throughout the day.,clear-day,"03529099999,03414099999,EGBB,03418599999,EGOS,03535099999,03534099999,EGNX,AU757,03544099999"
birmingham,2025/3/3,11.9,-2.7,5.3,11.9,-5.6,4.5,0.9,76,0,0,0,,0,0,9,5.6,224.5,1029.1,34.3,10.1,111.1,9.5,5,10,2025-03-03T06:49:10,2025-03-03T17:50:50,0.12,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999"
birmingham,2025/3/4,12,-0.5,6.1,12,-2.8,5.4,0.7,71.5,0,0,0,,0,0,17,10.3,207.1,1025.1,8.7,9.1,125.3,10.9,5,10,2025-03-04T06:46:54,2025-03-04T17:52:40,0.16,Clear,Clear conditions throughout the day.,clear-day,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999"
birmingham,2025/3/5,14.2,0.3,6.7,14.2,-2,5.4,0.7,70.1,0,0,0,,0,0,16.9,10.2,197.8,1020.1,2.8,7.8,120.7,10.4,4,10,2025-03-05T06:44:38,2025-03-05T17:54:29,0.19,Clear,Clear conditions throughout the day.,clear-day,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999"
birmingham,2025/3/6,16,2.3,9,16,0.2,8.1,4,73.2,0.026,100,4.17,rain,0,0,21.5,13.6,168.5,1012,10.2,8.1,90.1,7.9,4,10,2025-03-06T06:42:21,2025-03-06T17:56:18,0.25,Rain,Clear conditions throughout the day with late afternoon rain.,rain,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999"
birmingham,2025/3/7,16,8.1,11.1,16,6.3,10.4,8,82.2,0,0,0,,0,0,19,12.7,160.1,1009.9,38.4,9.2,94.8,8.1,4,10,2025-03-07T06:40:04,2025-03-07T17:58:07,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999"
birmingham,2025/3/8,17,7.1,11.4,17,5.3,10.9,5.5,69.5,0,0,0,,0,0,18.4,12.9,122.1,1007.9,15.4,8.7,124.5,10.8,5,10,2025-03-08T06:37:47,2025-03-08T17:59:56,0.3,Clear,Clear conditions throughout the day.,clear-day,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999"
birmingham,2025/3/9,17.8,4.1,10.6,17.8,1.9,10,4,66.1,0,0,0,,0,0,19.7,12,51,1003.7,0.5,6.2,121.4,10.5,5,10,2025-03-09T06:35:29,2025-03-09T18:01:44,0.33,Clear,Clear conditions throughout the day.,clear-day,"03529099999,03414099999,EGBB,03647099999,03520099999,03535099999,03534099999,AU757,03544099999"
birmingham,2025/3/10,9.9,5.8,7.4,7.6,3.1,5,4.6,82.4,0,0,0,,0,0,21.7,15.1,23.9,1005.4,32.7,3.3,62.5,5.5,3,10,2025-03-10T06:33:10,2025-03-10T18:03:32,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03529099999,03414099999,EGBB,03647099999,03535099999,03534099999,AU757,03544099999"
