name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
london,2025/3/1,10.6,2.8,5.5,10.6,2.4,5.2,1.4,77.1,0,0,0,,0,0,11.3,7,46.8,1034.5,33.5,13.9,55.3,4.7,4,10,2025-03-01T06:45:18,2025-03-01T17:41:15,0.05,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"03769099999,03680099999,D5621,03781099999,03672099999,03772099999,03770099999"
london,2025/3/2,11.1,1.1,5.3,11.1,1.1,5.1,1.1,76.8,0,0,0,,0,0,9.6,4.7,33.6,1034.4,4.1,14.8,71.3,6.1,5,10,2025-03-02T06:43:08,2025-03-02T17:43:01,0.09,Clear,Clear conditions throughout the day.,clear-day,"03769099999,EGWU,03680099999,EGLL,D5621,03781099999,03672099999,03761099999,EGLC,03772099999,03770099999"
london,2025/3/3,12.8,0.3,5.8,12.8,0.3,5.6,0.3,72,0,0,0,,0,0,6.9,3.6,276.9,1029.8,4,10.2,73.5,6.6,5,10,2025-03-03T06:40:58,2025-03-03T17:44:47,0.12,Clear,Clear conditions throughout the day.,clear-day,"03769099999,03680099999,D5621,03781099999,03672099999,03772099999,03770099999"
london,2025/3/4,13.8,0.1,6.4,13.8,0.1,6,0.3,69.8,0,0,0,,0,0,11.4,8.1,239.5,1026.3,1.4,11.5,74.9,6.7,5,10,2025-03-04T06:38:47,2025-03-04T17:46:32,0.16,Clear,Clear conditions throughout the day.,clear-day,"03769099999,03680099999,D5621,03781099999,03672099999,03772099999,03770099999"
london,2025/3/5,14.8,0.8,7.2,14.8,-1.7,6.3,2.4,74.2,0.202,100,8.33,rain,0,0,13.7,9.2,215.5,1022.2,5.7,4.3,78.3,6.9,4,10,2025-03-05T06:36:35,2025-03-05T17:48:17,0.19,Rain,Clear conditions throughout the day with rain.,rain,"03769099999,03680099999,D5621,03781099999,03672099999,03684099999,03772099999,03770099999"
london,2025/3/6,17.6,2.8,9.8,17.6,1.9,9.5,3.3,67,0,0,0,rain,0,0,19.9,12.6,170.4,1014.3,12.1,13.7,77.5,6.9,5,10,2025-03-06T06:34:22,2025-03-06T17:50:02,0.25,Clear,Clear conditions throughout the day.,clear-day,"03769099999,03680099999,D5621,03781099999,03672099999,03772099999,03770099999"
london,2025/3/7,17.6,9,13,17.6,7.9,12.9,6.9,67,0,0,0,,0,0,18,11.7,152.8,1011.7,53.6,18,86.8,7.5,5,10,2025-03-07T06:32:09,2025-03-07T17:51:46,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03680099999,D5621,03781099999,03672099999,03772099999,03770099999"
london,2025/3/8,16.9,7.6,12.2,16.9,6.2,11.9,5,62.5,0,0,0,,0,0,19.1,11.9,102.1,1008,13.3,16.8,80.3,6.9,5,10,2025-03-08T06:29:56,2025-03-08T17:53:31,0.3,Clear,Clear conditions throughout the day.,clear-day,"03769099999,03680099999,D5621,03781099999,03672099999,03772099999,03770099999"
london,2025/3/9,17.2,8.6,12.2,17.2,7.3,11.7,4.9,62.3,0,0,0,,0,0,17,12.6,87.9,1002.6,20.3,9.3,84.3,7.4,5,10,2025-03-09T06:27:42,2025-03-09T17:55:15,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03680099999,D5621,03781099999,03672099999,03772099999,03770099999"
london,2025/3/10,12.5,7.8,10.2,12.5,4.9,9.5,5.2,71.4,0.001,100,4.17,rain,0,0,17.8,12.2,31.2,1003.4,67,3.4,55.3,4.7,3,10,2025-03-10T06:25:28,2025-03-10T17:56:58,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"03769099999,03680099999,D5621,03781099999,03672099999,F6665,03772099999,03770099999"
london,2025/3/11,8.6,5,7.2,7.3,3.3,4.7,1.5,67.6,0,0,0,rain,0,0,21.7,12.5,24.6,1007.4,84.4,10,50.6,4.4,2,10,2025-03-11T06:23:13,2025-03-11T17:58:42,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,EGWU,03680099999,EGLL,D5621,03781099999,03672099999,EGLC,03772099999,03770099999"
